 Date,Type,Description,Credit,Debit,Balance
12/12/2025,CALL_TRANSACTION,"INTERBANK CREDIT From JBWERE LIMITED P, Ref: MAP FEEREFUND  INT",17.6,0,170774.13
11/12/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),670.2,0,170756.53
5/12/2025,DIRECT_CREDIT_DIVIDEND,"DIVIDEND From LSF, Ref: 001347059758",232.51,0,170086.33
5/12/2025,DEPOSIT,"Sold 55,478.000000 Ironbark North Rock Fund 1.777800 [MGDFUND] 31-OCT-2025 Ref: 35635661",98628.79,0,169853.82
4/12/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),269.02,0,71225.03
1/12/2025,DEPOSIT,Distribution from Hamilton Lane Global Private Assets Fund (AUD) - Hedged (PIM1015AU),445.17,0,70956.01
28/11/2025,GROSS_INTEREST,Interest,221.25,0,70510.84
14/11/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),68.87,0,70289.59
13/11/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),743.34,0,70220.72
13/11/2025,WITHDRAWAL,WEST RFT,0,35000,69477.38
6/11/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),298.91,0,104477.38
31/10/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),36.4,0,104178.47
31/10/2025,GROSS_INTEREST,Interest,179.61,0,104142.07
30/10/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),32.94,0,103962.46
29/10/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),29.31,0,103929.52
24/10/2025,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),171.32,0,103900.21
24/10/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),44.89,0,103728.89
23/10/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),15.26,0,103684
17/10/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),852.5,0,103668.74
16/10/2025,DEPOSIT,"Sold 52,978.127600 Resolution Capital Global Property Securities Fund - Unh 1.321300 [MGDFUND] 09-OCT-2025 Ref: 35054724",70000,0,102816.24
15/10/2025,DEPOSIT,"Sold 4,250.616339 Kapstream Wholesale Absolute Return Income Fund 1.176300 [MGDFUND] 09-OCT-2025 Ref: 35031788",5000,0,32816.24
15/10/2025,DEPOSIT,"Sold 4,910.144000 UBS JBWere Australian Credit Fund 1.018300 [MGDFUND] 09-OCT-2025 Ref: 35031764",5000,0,27816.24
15/10/2025,WITHDRAWAL,SEP-25 QTR MAP Private Wealth - Invoice 246214,0,4981.77,22816.24
14/10/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),662.88,0,27798.01
14/10/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),745.19,0,27135.13
14/10/2025,DEPOSIT,"Sold 10,357.327500 Macquarie True Index Australian Fixed Interest Fund 0.965500 [MGDFUND] 09-OCT-2025 Ref: 35021280",10000,0,26389.94
13/10/2025,DEPOSIT,Distribution from Macquarie True Index Australian Fixed Interest Fund (MAQ0211AU),1055.11,0,16389.94
10/10/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),437.2,0,15334.83
10/10/2025,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),82.76,0,14897.63
10/10/2025,DEPOSIT,"Sold 180 GLOBAL X PHYSICAL GOLD STRUCTURED, GLOBAL X PHYSICAL GOLD STRUCTURED $56.03 [ASX] 08-OCT-2025 Ref: 34981694",10085.4,0,14814.87
8/10/2025,WITHDRAWAL,Nomad costs,0,30000,4729.47
7/10/2025,DIRECT_CREDIT_DIVIDEND,"DIVIDEND From LSF, Ref: 001344967194",431.8,0,34729.47
6/10/2025,DEPOSIT,Distribution from UBS JBWere International Credit Fund (UBS0487AU),719.71,0,34297.67
6/10/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),318.55,0,33577.96
30/09/2025,GROSS_INTEREST,Interest,406.79,0,33259.41
26/09/2025,WITHDRAWAL,WES RFT,0,50000,32852.62
16/09/2025,WITHDRAWAL,"Bought 475 VANECK MSCI INTERNATIONAL QUALITY ETF, EXCHANGE TRADED FUND UNITS $58.65 [ASX] 12-SEP-2025 Ref: 34723350",0,27858.75,82852.62
16/09/2025,WITHDRAWAL,"Bought 525 BETASHARES NASDAQ 100 ETF, EXCHANGE TRADED FUND UNITS $53.07 [ASX] 12-SEP-2025 Ref: 34723340",0,27861.75,110711.37
12/09/2025,WITHDRAWAL,"Bought 10,000 UBS JBWere Australian Credit Fund [MGDFUND] 12-SEP-2025 Ref: 34717850",0,10000,138573.12
12/09/2025,WITHDRAWAL,"Bought 10,000 UBS JBWere International Credit Fund [MGDFUND] 12-SEP-2025 Ref: 34717838",0,10000,148573.12
12/09/2025,WITHDRAWAL,"Bought 10,000 QVG Opportunities Fund [MGDFUND] 12-SEP-2025 Ref: 34717754",0,10000,158573.12
12/09/2025,WITHDRAWAL,"Bought 10,000 Ares Diversified Credit Fund [MGDFUND] 12-SEP-2025 Ref: 34717664",0,10000,168573.12
12/09/2025,WITHDRAWAL,"Bought 20,000 Macquarie True Index Australian Fixed Interest Fund [MGDFUND] 12-SEP-2025 Ref: 34717558",0,20000,178573.12
12/09/2025,WITHDRAWAL,"Bought 10,000 Kapstream Wholesale Absolute Return Income Fund [MGDFUND] 12-SEP-2025 Ref: 34717530",0,10000,198573.12
12/09/2025,WITHDRAWAL,"Bought 20,000 Greencape Wholesale High Conviction Fund [MGDFUND] 12-SEP-2025 Ref: 34717412",0,20000,208573.12
11/09/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),687.86,0,228573.12
5/09/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),272.45,0,227885.26
2/09/2025,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),296.33,0,227612.81
1/09/2025,DEPOSIT,"Sold 52,447.000000 Ironbark North Rock Fund 1.716300 [MGDFUND] 31-JUL-2025 Ref: 34607884",90014.78,0,227316.48
29/08/2025,DEPOSIT,Distribution from Hamilton Lane Global Private Assets Fund (AUD) - Hedged (PIM1015AU),428.7,0,137301.7
29/08/2025,GROSS_INTEREST,Interest,359.67,0,136873
25/08/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),14.5,0,136513.33
21/08/2025,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),170.8,0,136498.83
18/08/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),699.28,0,136328.03
11/08/2025,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),9943.06,0,135628.75
7/08/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),71.61,0,125685.69
7/08/2025,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),4651.51,0,125614.08
7/08/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),279.44,0,120962.57
31/07/2025,GROSS_INTEREST,Interest,431.25,0,120683.13
30/07/2025,WITHDRAWAL,Elena tax 0000-PROCESSED-NAB202507305084210011,0,36453.3,120251.88
24/07/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),31.42,0,156705.18
24/07/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),20.96,0,156673.76
23/07/2025,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),82.97,0,156652.8
22/07/2025,DEPOSIT,Distribution from MAGELLAN GLOBAL FUND (MGE0001AU),0.02,0,156569.83
22/07/2025,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),6443.36,0,156569.81
21/07/2025,DEPOSIT,Distribution from QVG Opportunities Fund (QVG9204AU),987.52,0,150126.45
18/07/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),48.76,0,149138.93
17/07/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),14961.47,0,149090.17
17/07/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),976.36,0,134128.7
16/07/2025,WITHDRAWAL,JUN-25 QTR MAP Private Wealth - Invoice 235245,0,4978.48,133152.34
14/07/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),1325.61,0,138130.82
14/07/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),697.8,0,136805.21
